identifier,destination_code,destination_name
http://www.group22.org/gz/resource/Destinatation/DES39,39,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. ANTES DENOMINADO PARQUE CASA BLANCA. DENTRO DESU PERÍMETRO SE ENCUENTRA UBICADA UNA CASETA DE PERSONAL, ALMACÉN DE HERRAMIENTAS Y MAQUINARIA Y LAIN STALACIÓN DEPORTIVA BÁSICA PARQUE DE ROMA I (PISTA DE FÚTBOL SALA Y PISTA POLIDEPORTIVA), SITUADAEN LA CALLE JUAN ESPLANDIU Nº 4-B Y LA INSTALACIÓN DEPORTIVA BÁSICA PARQUE DE ROMA III (ROCÓDROMO),SITUADA EN LA CALLE ALCALDE SAINZ DE BARANDA, 90.
http://www.group22.org/gz/resource/Destinatation/DES40,40,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. DECLARADOS DE INTERES GENERAL EN LA CATEGORIADE MONUMENTO.
http://www.group22.org/gz/resource/Destinatation/DES41,41,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. JARDINES DECLARADOS BIEN DE INTERES GENERAL ENLA CATEGORIA DE MONUMENTO.
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES42,42,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DE SU PERÍMETRO SE ENCUENTRA UBICADA LAINSTALACIÓN DEPORTIVA BÁSICA COCHERAS (PISTA DE FÚTBOL, PISTA DE BALONCESTO, PISTA DE PATINAJE, ZONADE PARKOUR -BAJO EL PUNTE DE DOCTOR ESQUERO-), SITUADA EN LA CALLE COCHERAS, 1 Y 3. DOTACIONALSERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DE SU PERÍMETRO SE ENCUENTRA UBICADA LA INSTALACIÓNDEPORTIVA BÁSICA COCHERAS (PISTA DE FÚTBOL, PISTA DE BALONCESTO, PISTA DE PATINAJE, ZONA DE PARKOUR-BAJO EL PUNTE DE DOCTOR ESQUERO-), SITUADA EN LA CALLE COCHERAS, 1 Y 3.
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES43,43,NO FIGURA COMO ZONA VERDE EN EL PGOUM97, AUNQUE SI EN EL REGISTRO.
http://www.group22.org/gz/resource/Destinatation/DES44,44,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN EL INTERIOR DE SU PERÍMETRO SE ENCUENTRA UNCANTÓN DE LIMPIEZA.
http://www.group22.org/gz/resource/Destinatation/DES45,45,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. BAJA FINCA Nº 182 DEL INVENTARIO DELAYUNTAMIENTO DE MADRID.
http://www.group22.org/gz/resource/Destinatation/DES46,46,LA PARCELA SE ENCUENTRA EN PARTE DESTINADA A ZONA VERDE, EN PATE A VIARIO Y EN PARTE ZONA DEPORTIVA,SIENDO LA PARTE DESTINADA A ZONA VERDE UNA PORCIÓN DE LA PARCELA PMS 3.199 (ACTIVO 35-2336 DENOMINADOPARQUE ROMA) POR LO QUE ES POSIBLE QUE EXISTA UNA DOBLE INMATRICULACIÓN.
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES47,47,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDE BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES48,48,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DEBAJO DEL MONUMENTO SITUADO EN DICHOS JARDINESSE ENCUENTRA UBICADA UNA CASETA ALMACEN.
http://www.group22.org/gz/resource/Destinatation/DES49,49,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DE SU PERIMETRO SE ENCUENTRAN UBICADOSUNOS VESTUARIOS DEPORTIVOS Y LA INSTALACIÓN DEPORTIVA BÁSICA PARQUE BREOGÁN (CAMPO DE FÚTBOL 7 DECÉSPED ARTIFICIAL, PISTA DE FÚTBOL SALA, PISTA DE BALONCESTO, 4 PISTAS DE PÁDEL, 2 TENIS DE MESA YCIRCUITO DE FOOTING), SITUADA EN LA AVDA. BRASILIA 2 Y 4.
http://www.group22.org/gz/resource/Destinatation/DES50,50,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DEL PERIMETRO DEL PARQUE SE ENCUENTRAUBICADA UNA CASETA DE JARDINEROS.
