Órg. Gest.,Órgano Gestor,Imp. Conce,Fec. Conc.,Finalidad2,tipo_procedimiento,nominativa
213,DISTRITO DE PUENTE DE VALLECAS,1200,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
213,DISTRITO DE PUENTE DE VALLECAS,1800,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,1800,04/02/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
213,DISTRITO DE PUENTE DE VALLECAS,1200,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
213,DISTRITO DE PUENTE DE VALLECAS,900,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
213,DISTRITO DE PUENTE DE VALLECAS,3240,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
213,DISTRITO DE PUENTE DE VALLECAS,1200,27/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,1200,08/02/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
213,DISTRITO DE PUENTE DE VALLECAS,900,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
213,DISTRITO DE PUENTE DE VALLECAS,1800,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
213,DISTRITO DE PUENTE DE VALLECAS,900,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
213,DISTRITO DE PUENTE DE VALLECAS,900,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
